timestamp,zone,water_gallons,pressure_psi
2025-01-01 00:00:00,Athletic,495.7632247858831,62.060149601590425
2025-01-01 01:00:00,Academic,366.7782374208289,55.5197802859237
2025-01-01 02:00:00,Academic,489.1171218489777,62.59303573440796
2025-01-01 03:00:00,Dining,500.7048078565353,63.590945686496624
2025-01-01 04:00:00,Academic,434.33998102344566,54.484110443461205
2025-01-01 05:00:00,Academic,360.44933932041533,64.01969640223318
2025-01-01 06:00:00,Academic,1113.4312841037622,47.311082667331654
2025-01-01 07:00:00,Academic,1079.0188971087605,49.41952658196269
2025-01-01 08:00:00,Dining,1121.9345750821399,64.384689793513
2025-01-01 09:00:00,Residential,855.723996293508,53.53473429964946
2025-01-01 10:00:00,Athletic,885.3407375794245,63.647292689397716
2025-01-01 11:00:00,Dining,792.5119457420703,45.45711539007583
2025-01-01 12:00:00,Residential,729.4372139079671,46.097293985122164
2025-01-01 13:00:00,Academic,841.0934886129564,52.93847718184541
2025-01-01 14:00:00,Athletic,731.3176670218978,45.18982817159598
2025-01-01 15:00:00,Athletic,846.8464745041558,54.466959573464315
2025-01-01 16:00:00,Athletic,738.6897462173127,45.16180886097942
2025-01-01 17:00:00,Residential,1078.9999017752173,53.70914495181001
2025-01-01 18:00:00,Academic,1148.8461115440464,49.57137047299674
2025-01-01 19:00:00,Dining,1040.3667915192289,61.74962401203066
2025-01-01 20:00:00,Academic,724.1279817696386,64.93822687813778
2025-01-01 21:00:00,Dining,849.7881223528065,47.9976973760874
2025-01-01 22:00:00,Dining,714.9747459730921,47.25981421747544
2025-01-01 23:00:00,Athletic,761.1175713885797,55.09928499405902
2025-01-02 00:00:00,Dining,338.5130743915544,62.49783219953221
2025-01-02 01:00:00,Dining,537.876739620805,57.421387441051706
2025-01-02 02:00:00,Residential,352.9505215040161,57.16440131162467
2025-01-02 03:00:00,Academic,394.7783753752661,63.53512595445214
2025-01-02 04:00:00,Academic,440.44013798511594,48.29471239081806
2025-01-02 05:00:00,Dining,446.60012519224733,51.43512500595295
2025-01-02 06:00:00,Athletic,1051.9202181252722,51.558915859261056
2025-01-02 07:00:00,Dining,1200.6986448058274,64.59877092571602
2025-01-02 08:00:00,Dining,1130.0034081731408,46.25443466424699
2025-01-02 09:00:00,Residential,755.9696437229417,57.92919736441638
2025-01-02 10:00:00,Dining,818.6795313151202,60.506434759304945
2025-01-02 11:00:00,Residential,760.6104073869199,64.00492748031049
2025-01-02 12:00:00,Dining,837.7736883933422,63.990629213724475
2025-01-02 13:00:00,Dining,804.6698200227522,61.04483529796198
2025-01-02 14:00:00,Residential,823.7060206567638,64.93614169605053
2025-01-02 15:00:00,Dining,860.7417086098948,45.995412216444215
2025-01-02 16:00:00,Academic,790.3297095224096,46.49999171108967
2025-01-02 17:00:00,Academic,1064.6346181300562,52.6270443765247
2025-01-02 18:00:00,Dining,1075.6655835346412,54.198265595520674
2025-01-02 19:00:00,Dining,1079.1227165308942,59.9637786319663
2025-01-02 20:00:00,Dining,819.6511391652363,55.64841937337164
2025-01-02 21:00:00,Athletic,822.066108886494,62.205247332395466
2025-01-02 22:00:00,Academic,782.899757996461,56.82968863126074
2025-01-02 23:00:00,Dining,798.5060596282547,54.645560547121306
2025-01-03 00:00:00,Academic,417.0330709989573,64.17806434349323
2025-01-03 01:00:00,Dining,396.4162921042961,52.594236711384404
