timestamp,building,energy_kwh,temperature_f,occupancy
2025-01-01 00:00:00,Building_A,261.93428306022463,30.617356988288154,30
2025-01-01 01:00:00,Building_C,228.04387146892086,53.41658432216612,30
2025-01-01 02:00:00,Building_B,257.58082584400273,42.105152848065266,30
2025-01-01 03:00:00,Building_B,253.59663624431406,30.404834983429254,30
2025-01-01 04:00:00,Building_B,242.73164614375074,27.34270246429743,30
2025-01-01 05:00:00,Building_D,203.21788369887952,38.034412250381315,30
2025-01-01 06:00:00,Building_C,321.93312396585185,10.603793439237606,30
2025-01-01 07:00:00,Building_A,338.8492920477331,31.653478157724006,30
2025-01-01 08:00:00,Building_D,312.9801284515539,35.75698018345672,100
2025-01-01 09:00:00,Building_B,547.9025156863428,38.64654342749852,100
2025-01-01 10:00:00,Building_C,551.8206800252436,25.644402597253606,100
2025-01-01 11:00:00,Building_A,568.6045638779408,35.73118914729419,100
2025-01-01 12:00:00,Building_B,562.4508982420638,19.791563500289776,100
2025-01-01 13:00:00,Building_B,552.459995945566,18.065830591272963,100
2025-01-01 14:00:00,Building_D,550.3727663210773,40.817610389486106,100
2025-01-01 15:00:00,Building_A,561.7106424899649,58.56010091272043,100
2025-01-01 16:00:00,Building_B,516.4295601926515,24.801557916052914,100
2025-01-01 17:00:00,Building_A,463.9283295806051,36.19102105597643,100
2025-01-01 18:00:00,Building_A,473.6424558942607,40.87748459593357,100
2025-01-01 19:00:00,Building_D,475.96880518421915,33.73602063664804,30
2025-01-01 20:00:00,Building_D,468.62526862807124,41.75545127122359,30
2025-01-01 21:00:00,Building_D,491.3788257086478,20.761016654599633,30
2025-01-01 22:00:00,Building_A,352.6959083846086,34.96561384328971,30
2025-01-01 23:00:00,Building_C,317.324743181759,39.84208187653938,30
2025-01-02 00:00:00,Building_A,199.60509791820508,40.21902504375224,30
2025-01-02 01:00:00,Building_A,255.00978156221186,30.865787486536057,30
2025-01-02 02:00:00,Building_A,,32.1900033106215,30
2025-01-02 03:00:00,Building_C,223.6280707396888,33.903369849651675,30
2025-01-02 04:00:00,Building_A,235.83012794213622,26.982429564154636,30
2025-01-02 05:00:00,Building_D,239.79355965305328,28.838341031902274,30
2025-01-02 06:00:00,Building_C,363.43724267099554,33.755532939548324,30
2025-01-02 07:00:00,Building_A,330.8363040292732,36.609556154202934,30
2025-01-02 08:00:00,Building_A,687.5195546329845,34.610552721798896,100
2025-01-02 09:00:00,Building_D,584.9023122897357,30.466635424838596,100
2025-01-02 10:00:00,Building_A,542.7742857666798,36.040508568145384,100
2025-01-02 11:00:00,Building_D,532.7452337324357,30.53527193258384,100
2025-01-02 12:00:00,Building_A,545.6289839097672,15.26495378009777,100
2025-01-02 13:00:00,Building_D,544.7124389839806,35.449023350447284,100
2025-01-02 14:00:00,Building_D,542.1527807043775,35.015473423336125,100
2025-01-02 15:00:00,Building_C,585.3006952785092,12.600887813967567,100
2025-01-02 16:00:00,Building_D,530.4932778808611,39.73140855889249,100
2025-01-02 17:00:00,Building_C,469.1231966077875,31.78119125661235,100
2025-01-02 18:00:00,Building_D,442.1892734973862,26.33702270397228,100
2025-01-02 19:00:00,Building_C,440.06495402845616,25.176984360797277,30
2025-01-02 20:00:00,Building_A,474.9817346525821,19.771264633246933,30
2025-01-02 21:00:00,Building_C,470.5602568197885,7.303011349324027,30
2025-01-02 22:00:00,Building_B,320.33493415327524,28.779384837943244,30
2025-01-02 23:00:00,Building_D,315.44578271823025,39.41240635045218,30
2025-01-03 00:00:00,Building_D,279.27773048834206,57.391627162693325,30
2025-01-03 01:00:00,Building_C,253.25649199466363,37.015963653461725,30
2025-01-03 02:00:00,Building_C,227.26098578243833,18.795433869157236,30
2025-01-03 03:00:00,Building_D,246.29021398027336,42.6529246884595,30
2025-01-03 04:00:00,Building_C,410.81871328397705,40.47401432576639,30
2025-01-03 05:00:00,Building_A,249.14018130584944,12.654298044989503,30
2025-01-03 06:00:00,Building_A,350.69002129760094,22.455027380385793,30
2025-01-03 07:00:00,Building_C,326.749462795965,20.87502645670552,30
2025-01-03 08:00:00,Building_C,352.4412031998898,50.967929826539475,100
2025-01-03 09:00:00,Building_B,519.6285967848378,39.20387242038197,100
2025-01-03 10:00:00,Building_B,563.573470963818,29.604054918061905,100
2025-01-03 11:00:00,Building_A,572.0069029599308,18.56476235932567,100
2025-01-03 12:00:00,Building_C,558.5133469553001,23.428424435837172,100
2025-01-03 13:00:00,Building_B,545.7683336043601,33.90598705114523,100
2025-01-03 14:00:00,Building_C,543.5173522223668,39.40340817947739,100
2025-01-03 15:00:00,Building_C,527.0096190964229,26.031026684372474,100
2025-01-03 16:00:00,Building_B,,19.54261221288012,100
2025-01-03 17:00:00,Building_C,474.70225101803953,21.197991299595145,100
2025-01-03 18:00:00,Building_A,483.1484701772475,32.51360859479635,100
2025-01-03 19:00:00,Building_B,470.37278938345196,24.718207506366664,30
